A,B
12,52
15,5
13,54
11,64
15,24
20,23
12,50
22,18
18,70
14,0
13,11
7,54
10,33
10,32
12,28
11,31
11,34
11,6
10,14
16,52
20,36
2,39
18,55
0,55
13,18
1,24
13,27
5,27
14,28
22,64
0,32
12,12
18,1
19,65
18,45
18,64
18,38
13,20
14,50
7,52
7,50
5,11
6,64
9,8
11,54
20,49
14,56
15,42
14,19
8,27
5,54
3,36
17,36
17,44
17,42
11,23
9,29
10,45
11,55
14,17
14,61
17,39
1,38
21,37
16,39
11,25
8,26
8,48
9,15
13,48
11,55
14,57
17,7
14,47
5,29
22,18
0,33
1,34
1,56
4,11
10,48
18,44
2,61
4,15
8,46
18,37
12,28
11,38
11,38
20,47
3,31
14,53
7,55
10,56
15,18
16,24
20,38
7,17
10,28
10,39
